label shape (60000, 919)
train data shape: (60000, 4, 1000)
-----------epoch 1--------------
inputs.shape:  (100, 1000, 4)
loss:  0 :  tf.Tensor(0.6937257647514343, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  1 :  tf.Tensor(0.32616516947746277, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  2 :  tf.Tensor(0.3245410621166229, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  3 :  tf.Tensor(0.36576852202415466, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  4 :  tf.Tensor(0.2368660867214203, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  5 :  tf.Tensor(0.19031642377376556, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  6 :  tf.Tensor(0.17384199798107147, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  7 :  tf.Tensor(0.1860402673482895, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  8 :  tf.Tensor(0.1275109201669693, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  9 :  tf.Tensor(0.08505436778068542, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  10 :  tf.Tensor(0.18898335099220276, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  11 :  tf.Tensor(0.1943100541830063, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  12 :  tf.Tensor(0.251472145318985, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  13 :  tf.Tensor(0.16892826557159424, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  14 :  tf.Tensor(0.1680145412683487, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  15 :  tf.Tensor(0.20901593565940857, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  16 :  tf.Tensor(0.20928864181041718, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  17 :  tf.Tensor(0.1555337905883789, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  18 :  tf.Tensor(0.1433430314064026, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  19 :  tf.Tensor(0.16296906769275665, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  20 :  tf.Tensor(0.16846893727779388, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  21 :  tf.Tensor(0.2034340798854828, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  22 :  tf.Tensor(0.12876982986927032, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  23 :  tf.Tensor(0.15391501784324646, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  24 :  tf.Tensor(0.10513032227754593, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  25 :  tf.Tensor(0.12979461252689362, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  26 :  tf.Tensor(0.10730930417776108, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  27 :  tf.Tensor(0.11327996850013733, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  28 :  tf.Tensor(0.1748054176568985, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  29 :  tf.Tensor(0.17679952085018158, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  30 :  tf.Tensor(0.12242954969406128, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  31 :  tf.Tensor(0.07270775735378265, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  32 :  tf.Tensor(0.11218751966953278, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  33 :  tf.Tensor(0.11531409621238708, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  34 :  tf.Tensor(0.06936988979578018, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  35 :  tf.Tensor(0.11818865686655045, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  36 :  tf.Tensor(0.1588561087846756, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  37 :  tf.Tensor(0.11214394867420197, shape=(), dtype=float64)
inputs.shape:  (100, 1000, 4)
loss:  38 :  tf.Tensor(0.08732539415359497, shape=(), dtype=float64)
